Product_Name,Pricing,Discount,Delivery
Data Science with Machine Learning -,₹359,10%,Free delivery
Data Science Uncovering the Reality,₹180,0,Free delivery
Programming Skills For Data Science | Start Writing Cod...,₹450,18%,No Status
Data Science from Scratch: First Principles with Python...,"₹1,575",0,Free delivery
Data Science and Data Analytics,"₹13,332",12%,Free delivery
Numsense! Data Science for the Layman,₹475,0,No Status
Data Science with Python,"₹2,225",0,Free delivery
Machine Learning in Production- Developing & Optimizing...,₹236,50%,Delivery by
Data Science and Machine Learning Interview Questions U...,₹359,10%,Free delivery
"Data Science for Business (English, Paperback, Fawcett ...","₹1,350",0,Free delivery
Data Science and Machine Learning with R,₹625,10%,No Status
Practical Data Science with SAP: Machine Learning Techn...,"₹1,200",0,Free delivery
Doing Data Science,"₹1,575",0,Free delivery by
"Industry 4.0, AI, and Data Science","₹11,554",12%,Free delivery
Data Science in Agriculture and Natural Resource Manage...,"₹12,389",0,Free delivery
Data Science and Machine Learning Interview Questions U...,₹359,10%,Free delivery
Mastering Spark for Data Science,"₹4,499",0,Free delivery
Geospatial Data Science Techniques and Applications,"₹4,544",0,Free delivery
Data Science for Public Policy,"₹5,999",0,Free delivery
Data Science and Classification,"₹14,713",0,Free delivery
Hands-On Data Science for Biologists Using Python,"₹6,221",11%,Free delivery
Hands-On Data Science and Python Machine Learning,"₹3,299",0,Free delivery
Social Media as Social Science Data,"₹2,312",0,Free delivery
Data Science and Machine Learning using Python,₹654,12%,Free delivery
Data Science on the Google Cloud Platform: Implementing...,"₹1,700",0,Free delivery
Data Science and Machine Learning,₹205,0,Free delivery
Statistics for Data Science,"₹3,299",0,Free delivery
Basketball Data Science,"₹4,354",12%,Free delivery
Big Data in Cognitive Science,"₹5,049",0,Free delivery
Frontiers in Data Science,"₹3,999",11%,Free delivery
Mathematical Pictures at a Data Science Exhibition,"₹3,016",0,Free delivery
Advanced Statistical Methods in Data Science,"₹8,259",0,Free delivery
Optimization and Data Science: Trends and Applications,"₹11,563",0,Free delivery
Computer Presentation of Data in Science,"₹13,847",0,Free delivery
Proceedings of International Conference on Data Science...,"₹17,309",0,Free delivery
Data Science,"₹11,251",0,Free delivery
"Interview Questions for Data Science, Tableau, SQL and ...",₹280,20%,Free delivery
The ABCs of Data Science,"₹1,200",38%,Free delivery
Data Science and Artificial Intelligence for Beginners,₹241,19%,Free delivery
Selected Contributions on Statistics and Data Science i...,"₹9,520",0,Free delivery
